代號,名稱,EPS(元),合計股利,除權息合計殖利率,備註
5202,力新,-0.61,0.5,2.3,負EPS移除
3390,旭軟,-0.55,1.0,4.69,負EPS移除
6243,迅杰,-0.52,1.2,2.75,負EPS移除
9902,台火,-0.47,0.3,1.68,負EPS移除
1236,宏亞,-0.43,0.6,2.74,負EPS移除
4939,亞電,-0.43,0.5,2.55,負EPS移除
1452,宏益,-0.41,0.5,4.27,負EPS移除
2073,雄順,-0.39,0.7,2.43,負EPS移除
3060,銘異,-0.39,0.35,1.71,負EPS移除
3380,明泰,-0.36,1.0,3.59,負EPS移除
1586,和勤,-0.35,0.3,1.11,負EPS移除
4102,永日,-0.34,1.15,4.94,負EPS移除
3591,艾笛森,-0.34,0.739,4.06,負EPS移除
1465,偉全,-0.33,0.6,4.44,負EPS移除
4183,福永生技,-0.33,0.67,3.42,負EPS移除
4528,江興鍛,-0.31,0.2,1.09,負EPS移除
6680,鑫創電子,-0.29,3.049,3.76,負EPS移除
9934,成霖,-0.29,0.35,3.52,負EPS移除
2002,中鋼,-0.29,0.33,1.65,負EPS移除
5392,能率,-0.26,0.65,1.48,負EPS移除
4906,正文,-0.25,1.501,5.75,負EPS移除
6113,亞矽,-0.25,0.5,1.93,負EPS移除
3150,鈺寶-創,-0.22,1.0,4.32,負EPS移除
1711,永光,-0.21,0.3,1.8,負EPS移除
2405,輔信,-0.2,0.17,1.08,負EPS移除
4430,耀億,-0.19,0.5,2.52,負EPS移除
6120,達運,-0.19,0.25,2.37,負EPS移除
9944,新麗,-0.16,0.3,1.78,負EPS移除
6233,旺玖,-0.16,0.359,1.73,負EPS移除
9962,有益,-0.15,0.5,3.65,負EPS移除
1440,南紡,-0.15,0.3,2.28,負EPS移除
5514,三豐,-0.13,0.4,2.16,負EPS移除
1531,高林股,-0.12,0.4,3.17,負EPS移除
8921,沈氏,-0.11,0.22,1.23,負EPS移除
6693,廣閎科,-0.09,2.001,3.41,負EPS移除
3489,森寶,-0.09,0.5,2.38,負EPS移除
5523,豐謙,-0.09,0.5,1.64,負EPS移除
5201,凱衛,-0.06,1.35,3.51,負EPS移除
1235,興泰,-0.03,2.5,3.7,負EPS移除
6167,久正,-0.03,0.2,1.44,負EPS移除
4133,亞諾法,-0.02,0.9,3.08,負EPS移除
