排名,代號,名稱,成交,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,EPS(元),EPS增減(元),ROE(%),ROE增減,ROA(%),ROA增減,財報評分
469,3088,艾訊,97.8,2025,70.2,1.82,24,-5.58,5.01,-34.8,34.2,-2.68,7.25,-3.93,4.68,-2.85,10.3,-7.06,6.92,-3.99,57
470,3687,歐買尬,69.1,2025,18.3,6.13,7.37,5.11,1.41,101.0,40.3,-0.39,36.0,18.9,4.67,2.34,16.1,8.61,7.15,3.83,70
471,2816,旺旺保,30.85,2025,111,0.55,37.2,-2.13,10.4,-14.7,33.5,-0.92,9.41,-1.68,4.66,-0.8,13.6,-4.65,4.28,-1.38,58
472,3081,聯亞,2600.0,2025,22,82.3,9.41,294.0,4.28,886.0,42.7,22.9,19.4,24.0,4.66,5.25,10.8,12.2,9.21,10.5,72
473,8272,全景軟體,71.9,2025,4.78,15.9,3.57,13.9,0.88,24.8,74.6,-1.28,18.5,1.32,4.66,0.62,14.9,0.47,10.7,0.72,70
474,6721,信實,58.4,2025,36.3,9.25,1.89,20.9,1.05,5.95,5.22,0.5,2.89,-0.09,4.65,0.26,16.3,-0.08,8.84,0.14,39
475,7713,威力德生醫,67.0,2025,11.1,11.9,3.71,17.3,2.09,22.5,33.4,1.53,18.8,1.63,4.64,0.55,19.2,-0.17,9.38,0.24,57
476,3022,威強電,69.0,2025,65.1,-4.78,21.8,-9.69,8.17,-46.9,33.5,-1.82,12.6,-10.2,4.63,-4.09,7.29,-7.35,5.47,-5.17,60
477,1294,漢田生技,82.7,2025,7.79,4.02,2.89,-5.51,1.39,-10.7,37.1,-3.74,17.9,-2.9,4.6,-1.42,16.8,-8.61,12.2,-2.99,70
478,2393,億光,73.3,2025,196,-6.36,61,-3.91,20.4,-30.8,31.1,0.79,10.5,-4.38,4.6,-2.04,9.99,-5.74,6.95,-4.22,60
479,5299,杰力,84.5,2025,14.8,-12.3,5.16,7.77,2.33,-22.8,34.8,6.49,15.7,-2.14,4.58,-1.35,7.17,-2.31,6.07,-1.62,57
480,6887,寶綠特-KY,42.05,2025,47.9,-12.0,11,-5.96,3.33,-32.1,22.9,1.48,6.94,-2.05,4.58,-2.93,12.9,-10.6,7.5,-4.19,52
481,2751,王座,57.0,2025,17.7,27.5,8.54,26.3,0.9,10.9,48.2,-0.45,5.25,-0.58,4.57,0.02,19.5,-2.83,8.6,-1.93,52
482,3303,岱稜,46.5,2025,30.1,0.49,11.3,-2.03,4.28,16.9,37.5,-0.96,14.5,2.01,4.57,0.67,18.5,0.88,11.3,0.28,62
483,2488,漢平,50.8,2025,28.8,-9.29,6.61,-14.6,3.65,-13.0,22.9,-1.42,12.6,-0.54,4.56,-0.68,13.2,-2.95,9.49,-1.94,62
484,6534,正瀚-創,99.6,2025,18.2,11.2,15.3,11.9,4.64,-2.6,83.9,0.49,25.5,-3.59,4.51,-0.12,17.4,-1.02,12.9,-0.19,77
485,1730,花仙子,52.8,2025,24.1,-4.5,12.3,1.44,2.85,13.8,50.9,2.98,13.1,2.02,4.5,0.55,14.8,0.96,11.7,0.9,68
