排名,代號,名稱,股價日期,成交,漲跌價,漲跌幅,股利發放年度,股利發放頻率,現金股利,股票股利,合計股利,除息價,除息價現金殖利率,除權價,除權價股票殖利率,除權息合計殖利率,除息交易日,除權交易日,現金股利發放日
713,2014,中鴻,04/17,18.65,+0.1,+0.54,2024,年,0.1,0,0.1,21.35,0.47,,0,0.47,'24/07/25,,'24/08/23
714,2015,豐興,04/17,62.9,-0.8,-1.26,2024,年,3.5,0,3.5,72.8,4.81,,0,4.81,'24/04/11,,'24/05/10
715,2017,官田鋼,04/17,9.33,-0.1,-1.06,2024,年,0,0,0,,0,,0,0,,,
716,2020,美亞,04/17,23.15,-0.25,-1.07,2024,年,2,2,4,39.9,5.01,36.5,5.48,10.5,'24/06/12,'24/07/30,'24/07/05
717,2022,聚亨,04/17,8.83,-0.03,-0.34,2024,年,0.2,0,0.2,11.35,1.76,,0,1.76,'24/06/27,,'24/07/22
718,2023,燁輝,04/17,14,0,0,2024,年,0.2,0.2,0.4,15.35,1.3,15.2,1.32,2.62,'24/07/24,'24/08/28,'24/08/22
719,2024,志聯,04/17,14.95,+0.3,+2.05,2024,年,0,0,0,,0,,0,0,,,
720,2025,千興,04/17,12.25,0,0,2024,年,0,0,0,,0,,0,0,,,
721,2027,大成鋼,04/17,37.6,+0.3,+0.8,2024,年,1.2,0,1.2,38.2,3.14,,0,3.14,'24/08/05,,'24/09/04
722,2028,威致,04/17,19.15,-0.35,-1.79,2024,季,0.6,0,0.6,21.2,2.57,,0,2.57,'24/12/26,,'25/01/21
723,2029,盛餘,04/17,20.6,-0.15,-0.72,2024,年,1.25,0,1.25,27.9,4.48,,0,4.48,'24/07/16,,'24/08/16
724,2030,彰源,04/17,16.5,+0.05,+0.3,2024,年,0.5,0,0.5,17.8,2.81,,0,2.81,'24/07/04,,'24/08/02
725,2031,新光鋼,04/17,41,0,0,2024,年,3,0,3,64.1,4.68,,0,4.68,'24/07/03,,'24/08/01
726,2032,新鋼,04/17,16.35,-0.1,-0.61,2024,年,0,0,0,,0,,0,0,,,
727,2033,佳大,04/17,16.65,+0.05,+0.3,2024,年,0,0,0,,0,,0,0,,,
728,2034,允強,04/17,21,+0.25,+1.2,2024,年,1,0,1,25.3,3.95,,0,3.95,'24/07/26,,'24/08/23
729,2035,唐榮,04/17,28.3,+0.3,+1.07,2024,年,0,0,0,,0,,0,0,,,
730,2049,上銀,04/17,291,+12,+4.3,2024,年,2.5,0,2.5,211.5,1.18,,0,1.18,'24/07/10,,'24/08/08
731,2059,川湖,04/17,3640,+195,+5.66,2024,年,14.19,0,14.19,1260,1.13,,0,1.13,'24/08/29,,'24/09/27
732,2061,風青,04/17,16.1,-0.1,-0.62,2024,季,0,0,0,,0,,0,0,,,
733,2062,橋椿,04/17,22,+0.1,+0.46,2024,年,0.8,0,0.8,27.85,2.87,,0,2.87,'24/07/23,,'24/08/16
734,2063,世鎧,04/17,27.2,-0.2,-0.73,2024,季,1.5,0,1.5,51.5,2.91,,0,2.91,'24/06/27,,'24/07/25
