股號	股名	年份	紀念品
2605	新興	2025	苦茶油香皂禮盒
2608	嘉里大榮	2025	兩件式環保餐具組
2608	嘉里大榮	2025	64G隨身碟
2611	志信	2025	7-11商品卡35元
2612	中航	2025	7-11商品卡50元
2613	中櫃	2025	小熊保溫保冷提袋
2614	東森	2025	森美妍胺基酸保濕潔面霜
2616	山隆	2025	春風頂級厚手三層絲柔抽取式衛生紙一串6包
2636	台驊	2025	炭錢黃金皂二入
2641	正德	2025	7-11商品卡35元
2705	六福	2025	六福村門票 (效期 2025-06-09 (一) ~ 06-13 (五) ; 不得用於水樂園)
2727	王品	2025	王品股東大禮包(無期限禮物卡200元+電子抵用券200元X12)
2727	王品	2025	王品股東大禮包(無期限禮物卡200元)
2731	雄獅	2025	國內外團體旅遊兌換券700元
2734	易飛網	2025	高露潔旅行牙膏組
2834	臺企銀	2025	7-11商品卡50元
2880	華南金	2025	LINE FRIENDS不鏽鋼杯+造型吊飾組
2883	凱基金	2025	電動研磨器
2885	元大金	2025	全家禮物卡100元
2887	台新金	2025	精緻密封調味罐
2887Ex	台新金戊特	2025	精緻密封調味罐
2887Z1	台新金己特	2025	精緻密封調味罐
2888	新光金	2025	斜背兩用加底帆布袋
2889	國票金	2025	7-11商品卡50元
2890	永豐金(臨)	2025	全家禮物卡100元
2890	永豐金	2025	金元包(便當盒+包)
2891	中信金	2025	護眼愛地球可調光檯燈
2911	麗嬰房	2025	麗嬰房Les enphants嬰兒柔護濕巾20抽單
2913	農林	2025	澄韻紅茶150g
2929	淘帝-KY	2025	7-11中杯美式提貨卡
3006	晶豪科	2025	可折疊桌面手機支架(禾伸堂晶豪科)
3010	華立	2025	全家禮物卡50元
3011	今皓	2025	全家禮物卡35元
3014	聯陽	2025	小羊苗庇護工場 暖心植樸舒活皂70克二入
3019	亞光	2025	圓型玻璃保鮮盒
3023	信邦	2025	純鈦多功能餐具組
3024	憶聲	2025	可拆式環保餐具四件組
3025	星通	2025	宜睿好禮即享券A版50元
3026	禾伸堂	2025	可折疊桌面手機支架(禾伸堂晶豪科)
3027	盛達	2025	公益砧板
3028	增你強	2025	多功能鑰匙扣燈
3029	零壹	2025	宜睿好禮即享券A版50元
3032	偉訓	2025	菲蘇德美燕麥潔膚皂二入
3033	威健	2025	伊莎貝爾櫻花沐浴皂四入加超柔方巾一入
3034	聯詠	2025	7-11商品卡50元
3035	智原	2025	7-11商品卡50元
3036	文曄	2025	7-11商品卡50元
3037	欣興	2025	低碳米
3038	全台	2025	金安德森堅紋方口玻璃碗
3041	揚智(臨)	2025	7-11商品卡50元
3041	揚智	2025	Luminarc繁花強化餐盤
3042	晶技	2025	7-11商品卡100元
3043	科風	2025	7-11商品卡35元
3047	訊舟	2025	蜂王清新植感草本皂70克二入
3048	益登	2025	7-11商品卡35元
3049	精金	2025	STAND濾掛咖啡Maja聯名5入組
3050	鈺德	2025	除霉凝膠
3051	力特	2025	廚房不鏽鋼料理剪刀
3052	夆典	2025	黃麻環保購物袋
3056	富華新	2025	7-11商品卡50元
3057	喬鼎	2025	24合1磁吸螺絲刀工具組
3058	立德	2025	蜂王清新植感草本皂一入
3059	華晶科	2025	方型玻璃沙拉碗二入
3060	銘異	2025	全家禮物卡50元
3062	建漢	2025	碗筷2件套禮盒
3078	僑威	2025	毛寶洗碗精(潔淨強化) 450克
3081	聯亞	2025	7-11商品卡50元
3090	日電貿	2025	伊莎貝爾無患子抗菌清潔組
3092	鴻碩	2025	1.6米 Micro Usb訊號線
3094	聯傑	2025	保冷袋
3095	及成	2025	不鏽鋼餐具二件組
3105	穩懋	2025	沙威隆經典抗菌香皂80克二入
3115	富榮綱	2025	全家禮物卡100元
3118	進階	2025	全家禮物卡35元
3122	笙泉	2025	7-11商品卡35元
3128	昇銳	2025	全家禮物卡50元
