代號,名稱,股價,PER
3591,艾笛森,24.75,0.0
6578,達邦蛋白,17.75,0.0
5206,坤悅,25.15,7.31
6804,明係,16.6,0.0
8354,冠好,16.05,114.64
6952,大武山,40.5,0.0
2748,雲品,41.5,19.12
8927,北基,23.15,66.14
5276,達輝-KY,15.5,13.6
4584,君帆,41.8,12.19
8076,伍豐,23.35,166.79
2534,宏盛,19.9,9.66
3285,微端,28.2,40.29
6156,松上,20.75,46.11
6186,新潤,40.65,5.2
6835,圓裕,38.35,39.54
6154,順發,13.25,25.98
4116,明基醫,41.0,23.43
2892,第一金,28.8,15.4
1737,臺鹽,32.2,16.1
1733,五鼎,29.6,18.16
6962,奕力-KY,35.0,12.64
2906,高林,13.0,27.66
5464,霖宏,30.0,0.0
5876,上海商銀,39.85,13.02
9918,欣天然,43.6,27.08
2356,英業達,45.75,18.9
8923,時報,19.85,20.68
6666,羅麗芬-KY,41.6,17.19
2506,太設,8.98,449.0
5880,合庫金,23.9,17.57
6509,聚和,44.25,15.42
2324,仁寶,30.35,21.99
9908,大台北,29.85,17.35
9926,新海,50.0,18.66
1101,台泥,25.1,0.0
2201,裕隆,26.75,29.08
1521,大億,25.35,29.14
2910,統領,22.75,18.5
2884,玉山金,32.75,15.45
1409,新纖,16.7,13.92
8931,大汽電,42.4,22.67
1722,台肥,45.65,48.05
1103,嘉泥,14.0,16.67
2945,三商家購,42.3,19.77
2886,兆豐金,39.5,16.74
1229,聯華,44.4,17.28
1608,華榮,33.15,6.03
1235,興泰,45.2,0.0
2889,國票金,15.2,24.13
1603,華電,32.8,10.06
2633,台灣高鐵,27.0,23.08
6508,惠光,26.05,96.48
9962,有益,10.05,0.0
8403,盛弘,22.2,21.55
2610,華航,18.3,7.56
4543,萬在,37.5,70.75
3380,明泰,41.55,0.0
8908,欣雄,41.75,19.33
3164,景岳,17.95,27.2
4106,雃博,22.5,18.75
6570,維田,39.85,30.89
5902,德記,38.5,17.19
2302,麗正,19.4,39.59
9934,成霖,9.63,0.0
2103,台橡,19.05,35.28
9945,潤泰新,24.65,6.52
5201,凱衛,39.1,0.0
3050,鈺德,13.15,328.75
4433,興采,20.7,19.53
5450,南良,13.9,63.18
4183,福永生技,15.2,0.0
2323,中環,10.75,6.8
4560,強信-KY,33.55,11.11
1907,永豐餘,25.55,21.47
3531,先益,22.75,75.83
6971,惠民實業,29.5,12.19
1515,力山,23.15,23.87
4972,湯石照明,16.95,0.0
6843,進典,46.85,21.3
3597,映興,24.7,72.65
4711,永純,15.3,102.0
2462,良得電,22.75,84.26
1219,福壽,14.3,31.78
2027,大成鋼,37.6,13.24
7743,金利食安,20.25,35.53
4123,晟德,40.4,3.28
4160,訊聯基因,44.7,55.88
1338,廣華-KY,16.05,0.0
8942,森鉅,44.85,24.51
8905,裕國,40.55,66.48
6220,岳豐,33.4,41.23
2596,綠意,32.3,17.37
2489,瑞軒,44.65,34.35
6259,百徽,23.4,33.43
2482,連宇,17.7,0.0
1531,高林股,13.1,0.0
1617,榮星,15.75,23.16
5471,松翰,41.2,57.22
1217,愛之味,10.4,24.76
2484,希華,42.4,65.23
5244,弘凱,46.2,90.59
3438,類比科,46.55,46.55
1618,合機,39.05,9.28
2511,太子,8.13,24.64
1201,味全,13.4,33.5
2108,南帝,26.05,31.39
4133,亞諾法,22.5,0.0
1233,天仁,29.5,39.33
4763,材料*-KY,47.15,7.73
5457,宣德,38.15,13.77
3024,憶聲,10.95,39.11
2613,中櫃,23.0,20.18
3312,弘憶股,42.7,27.03
3434,哲固,30.9,65.74
1445,大宇,13.1,0.0
